KreisId,Name_Partei,Anteil
160,Andreas Harlaß (AfD),13.9
160,Lars Rohwer (CDU),26.0
160,Silvio Lang (Die Linke),23.5
160,Stephan Schumann (SPD),16.9
160,Dr. Silke Müller (FDP),27.9
160,Merle Spellerberg (Grüne),21.4
160,Charlotte Brock (Die Partei),1.9
160,Korvin Lemke (Freie Wähler),3.8
160,Anne Herpertz (PIRATEN),1.6
160,Florian Busch (ÖDP),0.8
160,Günter Slave (MLPD),0.9
160,Anke Althoff (dieBasis),0.5
160,Andreas Kabus (Gesundheitsforschung),1.6
160,Michael Gründler (BüSo),1.5
160,Frank Hannig (Direktkandidat Frank Hannig),0.3
160,Jens Düvelshaupt (#KLIMAfirst),1.8
