Alle Wahllokale mit Wahlgebäuden (Landtagswahl 2019),,,,,,
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Blasewitz ,55300,44,Gymnasium Tolkewitz,"01279, Dresden",Wehlener Straße 38,Barrierefrei
Blasewitz ,55400,44,Gymnasium Tolkewitz,"01279, Dresden",Wehlener Straße 38,Barrierefrei
Blasewitz ,55600,44,Freie Evangelische Schule,"01277, Dresden",Hausdorfer Str. 4,Barrierefrei
Blasewitz ,55800,44,Freie Evangelische Schule,"01277, Dresden",Hausdorfer Str. 4,Barrierefrei
Blasewitz ,56100,44,33. Grundschule,"01279, Dresden",Marienberger Str. 5,Barrierefrei
Blasewitz ,56200,44,33. Grundschule,"01279, Dresden",Marienberger Str. 5,Barrierefrei
Blasewitz ,56300,44,33. Grundschule,"01279, Dresden",Marienberger Str. 5,Barrierefrei
Blasewitz ,56401,44,Schule am Landgraben,"01237, Dresden",Pirnaer Landstr. 55,Barrierefrei
Blasewitz ,56402,44,Schule am Landgraben,"01237, Dresden",Pirnaer Landstr. 55,Barrierefrei
Blasewitz ,56501,44,33. Grundschule,"01279, Dresden",Marienberger Str. 5,Barrierefrei
Blasewitz ,56502,44,33. Grundschule,"01279, Dresden",Marienberger Str. 5,Barrierefrei
Blasewitz ,56600,44,96. Grundschule,"01277, Dresden",Liebstädter Str. 37,Barrierefrei
Blasewitz ,56800,44,96. Grundschule,"01277, Dresden",Liebstädter Str. 37,Barrierefrei
Blasewitz ,56900,44,96. Grundschule,"01277, Dresden",Liebstädter Str. 37,Barrierefrei
Blasewitz ,57100,44,107. Oberschule,"01309, Dresden",Hepkestr. 26,Barrierefrei
Blasewitz ,57200,44,107. Oberschule,"01309, Dresden",Hepkestr. 26,Barrierefrei
Blasewitz ,57301,44,Hans‐Erlwein‐Gymnasium,"01277, Dresden",Eibenstocker Str. 30,Barrierefrei
Blasewitz ,57302,44,Hans‐Erlwein‐Gymnasium,"01277, Dresden",Eibenstocker Str. 30,Barrierefrei
Blasewitz ,57400,44,Hans‐Erlwein‐Gymnasium,"01277, Dresden",Eibenstocker Str. 30,Barrierefrei
Blasewitz ,57500,44,Hans‐Erlwein‐Gymnasium,"01277, Dresden",Eibenstocker Str. 30,Barrierefrei
Blasewitz ,57600,44,Haus Elbwiesenhof Dresden Gruna,"01277, Dresden",Bodenbacher Straße 47,Barrierefrei
Blasewitz ,57700,44,107. Oberschule,"01309, Dresden",Hepkestr. 26,Barrierefrei
Blasewitz ,57800,44,107. Oberschule,"01309, Dresden",Hepkestr. 26,Barrierefrei
Leuben ,61100,42,Wohnstätte Altleuben,"01257, Dresden",Altleuben 10,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Leuben ,61200,42,66. Oberschule,"01257, Dresden",Dieselstr. 55,Barrierefrei
Leuben ,61300,42,Christliches Kinderhaus,"01257, Dresden",Ulmenstr. 17,Barrierefrei
Leuben ,61400,42,Johanniter‐Unfall‐Hilfe e. V.,"01257, Dresden",Stephensonstr. 12,Barrierefrei
Leuben ,61500,42,KITA Dieselstraße,"01257, Dresden",Dieselstr. 50,Barrierefrei
Leuben ,61600,42,"HOGA, Freie Oberschule","01257, Dresden",Zamenhofstr. 63,Nicht barrierefrei
Leuben ,61700,42,"HOGA, Freie Oberschule","01257, Dresden",Zamenhofstr. 63,Nicht barrierefrei
Leuben ,61800,42,93. Grundschule,"01237, Dresden",Dobritzer Weg 1,Barrierefrei
Leuben ,62101,42,95. Grundschule,"01279, Dresden",Donathstr. 10,Nicht barrierefrei
Leuben ,62102,42,95. Grundschule,"01279, Dresden",Donathstr. 10,Nicht barrierefrei
Leuben ,62200,42,95. Grundschule,"01279, Dresden",Donathstr. 10,Nicht barrierefrei
Leuben ,62301,42,95. Grundschule,"01279, Dresden",Donathstr. 10,Nicht barrierefrei
Leuben ,62302,42,KITA Burgenlandstraße,"01279, Dresden",Burgenlandstr. 30,Barrierefrei
Leuben ,62400,42,Kinder‐ und Jugendhaus Laubegast,"01279, Dresden",Österreicher Str. 54,Barrierefrei
Leuben ,62501,42,64. Oberschule,"01279, Dresden",Linzer Str. 1,Barrierefrei
Leuben ,62502,42,64. Oberschule,"01279, Dresden",Linzer Str. 1,Barrierefrei
Leuben ,62600,42,64. Oberschule,"01279, Dresden",Linzer Str. 1,Barrierefrei
Leuben ,63101,42,KITA Ökolog. Kinderhaus,"01259, Dresden",Meußlitzer Str. 41,Barrierefrei
Leuben ,63102,42,KITA Ökolog. Kinderhaus,"01259, Dresden",Meußlitzer Str. 41,Barrierefrei
Leuben ,63200,42,Putjatinhaus,"01259, Dresden",Meußlitzer Str. 83,Barrierefrei
Leuben ,63301,42,91. Grundschule,"01259, Dresden",Bernard‐Shaw‐Str. 11,Nicht barrierefrei
Leuben ,63302,42,91. Grundschule,"01259, Dresden",Bernard‐Shaw‐Str. 11,Nicht barrierefrei
